nta_code,pickup_date,count
BK09,2015-01-03,4
BK09,2015-01-04,2
BK09,2015-01-05,1
BK09,2015-01-09,1
BK09,2015-01-10,4
BK09,2015-01-11,2
BK09,2015-01-12,2
BK09,2015-01-14,1
BK09,2015-01-15,1
BK09,2015-01-16,3
BK09,2015-01-17,3
BK09,2015-01-18,5
BK09,2015-01-19,5
BK09,2015-01-20,2
BK09,2015-01-21,2
BK09,2015-01-22,2
BK09,2015-01-23,3
BK09,2015-01-25,5
BK09,2015-01-26,2
BK09,2015-01-28,3
BK09,2015-01-29,3
BK09,2015-01-30,2
BK09,2015-01-31,3
BK09,2015-02-01,3
BK09,2015-02-02,4
BK09,2015-02-03,2
BK09,2015-02-04,5
BK09,2015-02-05,5
BK09,2015-02-06,3
BK09,2015-02-07,4
BK09,2015-02-08,1
BK09,2015-02-09,2
BK09,2015-02-10,3
BK09,2015-02-11,2
BK09,2015-02-12,2
BK09,2015-02-14,3
BK09,2015-02-16,1
BK09,2015-02-17,2
BK09,2015-02-18,1
BK09,2015-02-19,1
BK09,2015-02-20,2
BK09,2015-02-21,1
BK09,2015-02-22,3
BK09,2015-02-23,1
BK09,2015-02-24,1
BK09,2015-02-25,1
BK09,2015-02-26,5
BK09,2015-02-27,4
BK09,2015-02-28,3
BK09,2015-03-02,1
BK09,2015-03-03,4
BK09,2015-03-04,2
BK09,2015-03-05,1
BK09,2015-03-06,4
BK09,2015-03-07,2
BK09,2015-03-08,4
BK09,2015-03-09,2
BK09,2015-03-14,4
BK09,2015-03-15,1
BK09,2015-03-16,2
BK09,2015-03-18,1
BK09,2015-03-19,1
BK09,2015-03-20,1
BK09,2015-03-21,5
BK09,2015-03-22,1
BK09,2015-03-23,2
BK09,2015-03-24,1
BK09,2015-03-26,1
BK09,2015-03-27,3
BK09,2015-03-28,4
BK09,2015-03-29,4
BK09,2015-03-30,4
BK09,2015-04-01,2
BK09,2015-04-02,2
BK09,2015-04-03,6
BK09,2015-04-04,3
BK09,2015-04-05,3
BK09,2015-04-06,1
BK09,2015-04-08,1
BK09,2015-04-09,1
BK09,2015-04-10,2
BK09,2015-04-11,1
BK09,2015-04-13,1
BK09,2015-04-14,1
BK09,2015-04-15,1
BK09,2015-04-16,2
BK09,2015-04-17,3
BK09,2015-04-18,2
BK09,2015-04-19,1
BK09,2015-04-20,1
BK09,2015-04-21,1
BK09,2015-04-22,1
BK09,2015-04-23,2
BK09,2015-04-24,5
BK09,2015-04-25,1
BK09,2015-04-28,2
BK09,2015-04-29,1
BK09,2015-04-30,1
BK09,2015-05-01,3
BK09,2015-05-02,1
BK09,2015-05-03,4
BK09,2015-05-04,3
BK09,2015-05-05,2
BK09,2015-05-06,2
BK09,2015-05-07,3
BK09,2015-05-08,2
BK09,2015-05-09,2
BK09,2015-05-10,1
BK09,2015-05-11,2
BK09,2015-05-12,1
BK09,2015-05-13,1
BK09,2015-05-14,3
BK09,2015-05-15,2
BK09,2015-05-16,4
BK09,2015-05-17,2
BK09,2015-05-18,3
BK09,2015-05-20,1
BK09,2015-05-21,3
BK09,2015-05-22,4
BK09,2015-05-23,3
BK09,2015-05-24,3
BK09,2015-05-25,2
BK09,2015-05-26,1
BK09,2015-05-27,5
BK09,2015-05-28,3
BK09,2015-05-29,4
BK09,2015-05-30,4
BK09,2015-05-31,6
BK09,2015-06-01,1
BK09,2015-06-02,3
BK09,2015-06-03,2
BK09,2015-06-04,3
BK09,2015-06-05,3
BK09,2015-06-06,3
BK09,2015-06-08,1
BK09,2015-06-09,2
BK09,2015-06-10,5
BK09,2015-06-11,6
BK09,2015-06-12,5
BK09,2015-06-13,2
BK09,2015-06-14,6
BK09,2015-06-15,5
BK09,2015-06-16,4
BK09,2015-06-17,3
BK09,2015-06-18,4
BK09,2015-06-19,4
BK09,2015-06-20,5
BK09,2015-06-21,2
BK09,2015-06-22,1
BK09,2015-06-24,3
BK09,2015-06-25,2
BK09,2015-06-26,3
BK09,2015-06-27,4
BK09,2015-06-28,3
BK09,2015-06-29,2
BK09,2015-06-30,4
BK17,2015-01-01,1
BK17,2015-01-03,1
BK17,2015-01-11,1
BK17,2015-01-14,1
BK17,2015-01-19,1
BK17,2015-01-28,1
BK17,2015-01-31,1
BK17,2015-02-13,1
BK17,2015-02-26,1
BK17,2015-03-14,1
BK17,2015-03-19,2
BK17,2015-03-21,1
BK17,2015-03-28,1
BK17,2015-03-29,2
BK17,2015-03-30,1
BK17,2015-04-01,1
BK17,2015-04-05,1
BK17,2015-04-07,1
BK17,2015-04-12,1
BK17,2015-04-18,1
BK17,2015-04-23,1
BK17,2015-04-25,1
BK17,2015-04-29,1
BK17,2015-05-05,1
BK17,2015-05-10,1
BK17,2015-05-12,1
BK17,2015-05-13,1
BK17,2015-05-20,1
BK17,2015-05-21,1
BK17,2015-05-22,1
BK17,2015-05-29,1
BK17,2015-05-30,1
BK17,2015-06-02,1
BK17,2015-06-03,1
BK17,2015-06-12,1
BK17,2015-06-20,1
BK17,2015-06-21,2
BK17,2015-06-28,2
BK17,2015-06-30,1
BK19,2015-01-31,1
BK19,2015-02-01,1
BK19,2015-02-16,1
BK19,2015-02-22,1
BK19,2015-03-04,1
BK19,2015-03-14,1
BK19,2015-04-05,1
BK19,2015-04-26,1
BK19,2015-05-12,2
BK19,2015-06-04,1
BK19,2015-06-11,1
BK19,2015-06-13,2
BK19,2015-06-18,1
BK19,2015-06-22,1
BK19,2015-06-25,1
BK21,2015-02-14,1
BK21,2015-02-19,1
BK21,2015-02-25,1
BK21,2015-03-05,1
BK21,2015-04-04,1
BK21,2015-04-11,1
BK21,2015-04-12,1
BK21,2015-04-13,1
BK21,2015-04-17,1
BK21,2015-04-20,1
BK21,2015-05-10,1
BK21,2015-05-12,1
BK21,2015-06-02,1
BK21,2015-06-07,1
BK21,2015-06-11,1
BK21,2015-06-15,1
BK25,2015-01-07,1
BK25,2015-01-08,1
BK25,2015-01-15,1
BK25,2015-01-18,1
BK25,2015-01-22,1
BK25,2015-01-25,1
BK25,2015-01-31,1
BK25,2015-02-02,1
BK25,2015-02-08,1
BK25,2015-02-09,2
BK25,2015-02-12,1
BK25,2015-02-13,2
BK25,2015-02-14,1
BK25,2015-02-16,1
BK25,2015-02-23,1
BK25,2015-02-28,1
BK25,2015-03-01,2
BK25,2015-03-02,1
BK25,2015-03-03,1
BK25,2015-03-05,1
BK25,2015-03-07,1
BK25,2015-03-09,1
BK25,2015-03-10,2
BK25,2015-03-16,1
BK25,2015-03-17,1
BK25,2015-03-19,1
BK25,2015-03-24,1
BK25,2015-03-25,1
BK25,2015-03-26,2
BK25,2015-03-27,1
BK25,2015-03-29,2
BK25,2015-03-31,2
BK25,2015-04-01,1
BK25,2015-04-05,1
BK25,2015-04-11,1
BK25,2015-04-12,1
BK25,2015-04-17,1
BK25,2015-04-23,2
BK25,2015-04-24,1
BK25,2015-04-29,1
BK25,2015-05-05,1
BK25,2015-05-08,1
BK25,2015-05-18,1
BK25,2015-05-20,1
BK25,2015-05-22,1
BK25,2015-05-23,1
BK25,2015-05-27,1
BK25,2015-05-29,1
BK25,2015-06-01,1
BK25,2015-06-04,1
BK25,2015-06-09,2
BK25,2015-06-16,1
BK25,2015-06-18,2
BK25,2015-06-20,1
BK25,2015-06-22,1
BK25,2015-06-23,1
BK25,2015-06-28,1
BK26,2015-01-01,1
BK26,2015-03-22,1
BK26,2015-03-23,1
BK26,2015-04-05,1
BK26,2015-04-11,1
BK26,2015-04-12,1
BK26,2015-04-13,1
BK26,2015-04-18,1
BK26,2015-04-24,1
BK26,2015-05-11,1
BK26,2015-05-15,1
BK26,2015-05-19,1
BK26,2015-06-07,2
BK26,2015-06-10,1
BK27,2015-01-22,1
BK27,2015-03-10,1
BK27,2015-03-30,1
BK27,2015-04-20,1
BK27,2015-05-06,1
BK27,2015-05-11,1
BK27,2015-05-20,1
BK27,2015-06-07,1
BK28,2015-01-17,1
BK28,2015-01-18,1
BK28,2015-02-07,1
BK28,2015-02-10,1
BK28,2015-02-11,1
BK28,2015-02-17,1
