nta_code,pickup_date,count
BK09,2015-01-01,32
BK09,2015-01-02,11
BK09,2015-01-03,51
BK09,2015-01-04,29
BK09,2015-01-05,25
BK09,2015-01-06,25
BK09,2015-01-07,30
BK09,2015-01-08,27
BK09,2015-01-09,39
BK09,2015-01-10,53
BK09,2015-01-11,34
BK09,2015-01-12,17
BK09,2015-01-13,23
BK09,2015-01-14,31
BK09,2015-01-15,34
BK09,2015-01-16,32
BK09,2015-01-17,41
BK09,2015-01-18,34
BK09,2015-01-19,24
BK09,2015-01-20,25
BK09,2015-01-21,34
BK09,2015-01-22,30
BK09,2015-01-23,44
BK09,2015-01-24,48
BK09,2015-01-25,31
BK09,2015-01-26,19
BK09,2015-01-27,19
BK09,2015-01-28,27
BK09,2015-01-29,36
BK09,2015-01-30,47
BK09,2015-01-31,59
BK09,2015-02-01,46
BK09,2015-02-02,24
BK09,2015-02-03,31
BK09,2015-02-04,24
BK09,2015-02-05,37
BK09,2015-02-06,47
BK09,2015-02-07,52
BK09,2015-02-08,40
BK09,2015-02-09,34
BK09,2015-02-10,23
BK09,2015-02-11,27
BK09,2015-02-12,40
BK09,2015-02-13,30
BK09,2015-02-14,44
BK09,2015-02-15,31
BK09,2015-02-16,31
BK09,2015-02-17,24
BK09,2015-02-18,31
BK09,2015-02-19,36
BK09,2015-02-20,53
BK09,2015-02-21,47
BK09,2015-02-22,31
BK09,2015-02-23,29
BK09,2015-02-24,44
BK09,2015-02-25,38
BK09,2015-02-26,44
BK09,2015-02-27,38
BK09,2015-02-28,32
BK09,2015-03-01,43
BK09,2015-03-02,20
BK09,2015-03-03,22
BK09,2015-03-04,32
BK09,2015-03-05,32
BK09,2015-03-06,30
BK09,2015-03-07,54
BK09,2015-03-08,37
BK09,2015-03-09,32
BK09,2015-03-10,28
BK09,2015-03-11,31
BK09,2015-03-12,38
BK09,2015-03-13,33
BK09,2015-03-14,46
BK09,2015-03-15,34
BK09,2015-03-16,17
BK09,2015-03-17,28
BK09,2015-03-18,27
BK09,2015-03-19,21
BK09,2015-03-20,49
BK09,2015-03-21,57
BK09,2015-03-22,28
BK09,2015-03-23,29
BK09,2015-03-24,25
BK09,2015-03-25,23
BK09,2015-03-26,34
BK09,2015-03-27,38
BK09,2015-03-28,52
BK09,2015-03-29,40
BK09,2015-03-30,27
BK09,2015-03-31,31
BK09,2015-04-01,37
BK09,2015-04-02,34
BK09,2015-04-03,52
BK09,2015-04-04,50
BK09,2015-04-05,32
BK09,2015-04-06,26
BK09,2015-04-07,37
BK09,2015-04-08,41
BK09,2015-04-09,36
BK09,2015-04-10,36
BK09,2015-04-11,39
BK09,2015-04-12,44
BK09,2015-04-13,22
BK09,2015-04-14,33
BK09,2015-04-15,30
BK09,2015-04-16,29
BK09,2015-04-17,50
BK09,2015-04-18,45
BK09,2015-04-19,54
BK09,2015-04-20,42
BK09,2015-04-21,34
BK09,2015-04-22,45
BK09,2015-04-23,41
BK09,2015-04-24,42
BK09,2015-04-25,66
BK09,2015-04-26,41
BK09,2015-04-27,27
BK09,2015-04-28,28
BK09,2015-04-29,30
BK09,2015-04-30,46
BK09,2015-05-01,46
BK09,2015-05-02,45
BK09,2015-05-03,57
BK09,2015-05-04,28
BK09,2015-05-05,40
BK09,2015-05-06,36
BK09,2015-05-07,46
BK09,2015-05-08,54
BK09,2015-05-09,62
BK09,2015-05-10,42
BK09,2015-05-11,36
BK09,2015-05-12,21
BK09,2015-05-13,53
BK09,2015-05-14,43
BK09,2015-05-15,52
BK09,2015-05-16,70
BK09,2015-05-17,53
BK09,2015-05-18,38
BK09,2015-05-19,28
BK09,2015-05-20,45
BK09,2015-05-21,51
BK09,2015-05-22,43
BK09,2015-05-23,47
BK09,2015-05-24,54
BK09,2015-05-25,22
BK09,2015-05-26,33
BK09,2015-05-27,47
BK09,2015-05-28,47
BK09,2015-05-29,30
BK09,2015-05-30,73
BK09,2015-05-31,45
BK09,2015-06-01,54
BK09,2015-06-02,40
BK09,2015-06-03,33
BK09,2015-06-04,38
BK09,2015-06-05,50
BK09,2015-06-06,65
BK09,2015-06-07,51
BK09,2015-06-08,35
BK09,2015-06-09,43
BK09,2015-06-10,51
BK09,2015-06-11,48
BK09,2015-06-12,53
BK09,2015-06-13,72
BK09,2015-06-14,41
BK09,2015-06-15,34
BK09,2015-06-16,43
BK09,2015-06-17,52
BK09,2015-06-18,53
BK09,2015-06-19,46
BK09,2015-06-20,79
BK09,2015-06-21,54
BK09,2015-06-22,33
BK09,2015-06-23,52
BK09,2015-06-24,41
BK09,2015-06-25,43
BK09,2015-06-26,43
BK09,2015-06-27,80
BK09,2015-06-28,57
BK09,2015-06-29,32
BK09,2015-06-30,43
BK17,2015-01-01,4
BK17,2015-01-02,3
BK17,2015-01-03,4
BK17,2015-01-04,3
BK17,2015-01-05,1
BK17,2015-01-06,3
BK17,2015-01-07,5
BK17,2015-01-08,1
BK17,2015-01-09,2
BK17,2015-01-10,5
BK17,2015-01-11,5
BK17,2015-01-12,4
BK17,2015-01-13,4
BK17,2015-01-14,3
BK17,2015-01-15,1
BK17,2015-01-16,3
BK17,2015-01-17,4
BK17,2015-01-18,4
BK17,2015-01-19,1
BK17,2015-01-20,3
BK17,2015-01-21,2
BK17,2015-01-22,1
BK17,2015-01-23,5
BK17,2015-01-24,4
BK17,2015-01-25,2
BK17,2015-01-26,3
BK17,2015-01-27,1
BK17,2015-01-28,4
BK17,2015-01-29,10
BK17,2015-01-30,4
BK17,2015-01-31,3
BK17,2015-02-01,3
BK17,2015-02-02,1
BK17,2015-02-03,8
BK17,2015-02-04,5
BK17,2015-02-06,2
BK17,2015-02-07,5
BK17,2015-02-08,4
BK17,2015-02-09,3
BK17,2015-02-10,2
BK17,2015-02-11,4
BK17,2015-02-12,4
BK17,2015-02-13,4
BK17,2015-02-14,5
BK17,2015-02-15,5
BK17,2015-02-16,3
BK17,2015-02-17,2
BK17,2015-02-18,4
BK17,2015-02-19,4
BK17,2015-02-20,9
BK17,2015-02-21,2
BK17,2015-02-22,4
BK17,2015-02-23,1
BK17,2015-02-24,10
BK17,2015-02-25,2
BK17,2015-02-26,3
BK17,2015-02-27,3
BK17,2015-02-28,4
BK17,2015-03-01,1
BK17,2015-03-02,6
BK17,2015-03-03,2
BK17,2015-03-04,4
BK17,2015-03-05,4
BK17,2015-03-06,3
BK17,2015-03-07,2
BK17,2015-03-08,3
BK17,2015-03-09,3
BK17,2015-03-10,3
BK17,2015-03-11,4
BK17,2015-03-12,4
BK17,2015-03-13,3
BK17,2015-03-14,9
BK17,2015-03-15,6
BK17,2015-03-16,5
BK17,2015-03-17,3
BK17,2015-03-18,4
BK17,2015-03-19,4
BK17,2015-03-20,3
BK17,2015-03-21,8
BK17,2015-03-22,5
BK17,2015-03-23,6
BK17,2015-03-24,6
BK17,2015-03-25,3
BK17,2015-03-26,5
BK17,2015-03-27,3
BK17,2015-03-28,3
BK17,2015-03-29,6
BK17,2015-03-30,3
BK17,2015-03-31,6
BK17,2015-04-01,3
BK17,2015-04-02,3
BK17,2015-04-03,2
BK17,2015-04-04,7
BK17,2015-04-05,5
BK17,2015-04-06,5
BK17,2015-04-08,4
BK17,2015-04-09,4
BK17,2015-04-10,4
BK17,2015-04-11,3
BK17,2015-04-12,7
BK17,2015-04-13,5
BK17,2015-04-14,1
BK17,2015-04-15,3
BK17,2015-04-16,4
BK17,2015-04-17,6
BK17,2015-04-18,7
BK17,2015-04-19,9
BK17,2015-04-20,6
BK17,2015-04-21,5
BK17,2015-04-22,4
BK17,2015-04-23,4
BK17,2015-04-24,6
BK17,2015-04-25,3
BK17,2015-04-26,3
BK17,2015-04-27,2
BK17,2015-04-28,4
BK17,2015-04-29,6
BK17,2015-04-30,6
BK17,2015-05-01,6
BK17,2015-05-02,5
BK17,2015-05-03,6
BK17,2015-05-04,6
BK17,2015-05-05,5
BK17,2015-05-06,4
BK17,2015-05-07,2
BK17,2015-05-08,3
BK17,2015-05-09,3
BK17,2015-05-10,9
BK17,2015-05-11,7
BK17,2015-05-12,6
BK17,2015-05-14,5
BK17,2015-05-15,8
BK17,2015-05-16,6
BK17,2015-05-17,10
BK17,2015-05-18,4
BK17,2015-05-19,4
BK17,2015-05-20,7
BK17,2015-05-21,4
BK17,2015-05-22,5
BK17,2015-05-23,6
BK17,2015-05-24,9
BK17,2015-05-25,7
BK17,2015-05-26,5
BK17,2015-05-27,4
BK17,2015-05-28,10
BK17,2015-05-29,7
BK17,2015-05-30,7
BK17,2015-05-31,6
BK17,2015-06-01,8
BK17,2015-06-02,7
BK17,2015-06-03,2
BK17,2015-06-04,5
BK17,2015-06-05,6
BK17,2015-06-06,11
BK17,2015-06-07,8
BK17,2015-06-08,5
BK17,2015-06-09,6
BK17,2015-06-10,6
BK17,2015-06-11,9
BK17,2015-06-12,11
BK17,2015-06-13,8
BK17,2015-06-14,8
BK17,2015-06-15,11
BK17,2015-06-16,6
BK17,2015-06-17,9
BK17,2015-06-18,7
BK17,2015-06-19,6
BK17,2015-06-20,5
BK17,2015-06-21,6
BK17,2015-06-22,12
BK17,2015-06-23,5
BK17,2015-06-24,4
BK17,2015-06-25,8
BK17,2015-06-26,8
BK17,2015-06-27,11
BK17,2015-06-28,6
BK17,2015-06-29,3
BK17,2015-06-30,5
BK19,2015-01-01,3
BK19,2015-01-05,1
BK19,2015-01-07,1
BK19,2015-01-09,3
BK19,2015-01-10,1
BK19,2015-01-11,1
BK19,2015-01-14,2
BK19,2015-01-15,2
BK19,2015-01-19,2
BK19,2015-01-20,2
BK19,2015-01-21,1
BK19,2015-01-23,1
BK19,2015-01-24,3
BK19,2015-01-26,1
BK19,2015-01-28,2
BK19,2015-01-30,2
BK19,2015-01-31,4
BK19,2015-02-01,1
BK19,2015-02-02,1
BK19,2015-02-03,2
BK19,2015-02-04,1
BK19,2015-02-05,1
BK19,2015-02-06,1
