nta_code,count
BK09,7072
BK17,857
BK19,284
BK21,381
BK23,1
BK25,1204
BK26,293
BK27,273
BK28,748
BK29,555
BK30,600
BK31,2548
BK32,2260
BK33,5566
BK34,676
BK35,4196
BK37,13770
BK38,12664
BK40,1488
BK41,876
BK42,3252
BK43,1206
BK44,546
BK45,706
BK46,561
BK50,1089
BK58,1046
BK60,2872
BK61,7272
BK63,1741
BK64,3986
BK68,5221
BK69,6952
BK72,546
BK73,25090
BK75,5624
BK76,9614
BK77,5399
BK78,7404
BK79,899
BK81,692
BK82,1087
BK83,385
BK85,305
BK88,1124
BK90,8315
BK91,885
BK93,158
BK95,724
BK96,1014
BK99,575
BX01,298
BX03,214
BX05,419
BX06,640
BX07,285
BX08,222
BX09,350
BX10,289
BX13,307
BX14,568
BX17,357
BX22,1106
BX26,458
BX27,227
BX28,706
BX29,1085
BX30,296
BX31,249
BX33,202
BX34,415
BX35,369
BX36,464
BX37,529
BX39,853
BX40,170
BX41,424
BX43,477
BX44,358
BX46,301
BX49,659
BX52,289
BX55,262
BX59,300
BX62,258
BX63,927
BX75,228
MN01,1310
MN03,8898
MN04,2403
MN06,1282
MN09,3995
MN12,28433
MN13,96717
MN14,21747
MN15,28436
MN17,127488
MN19,21976
MN20,29303
MN21,17726
MN22,35004
MN23,73264
MN24,72158
MN25,33353
MN27,8159
MN28,17743
MN31,22825
MN32,17008
MN33,3671
MN34,3531
MN35,2537
MN36,3457
MN40,35942
MN50,5088
MN99,3449
NJ01,4
QN01,284
QN02,214
QN03,303
QN05,188
QN06,446
QN07,129
QN08,340
QN10,42
QN12,57
QN15,45
QN17,2981
QN18,846
QN19,662
QN20,1771
QN21,757
QN22,1706
QN23,252
QN25,610
QN26,359
QN27,814
QN28,2478
QN29,1573
QN30,957
QN31,3866
QN33,179
QN34,379
QN35,790
QN37,775
QN38,902
QN41,244
QN42,232
QN43,206
QN44,156
QN45,196
QN46,614
QN47,213
QN48,209
QN49,367
QN50,619
QN51,443
QN52,257
QN53,751
QN54,850
QN55,767
QN56,383
QN57,348
QN60,840
QN61,1080
QN62,348
QN63,1454
QN66,182
QN68,7513
QN70,6473
QN71,1924
QN72,3263
QN76,475
QN98,38906
SI01,5
SI07,51
SI08,29
SI11,2
SI12,34
SI14,48
SI22,27
SI24,121
SI25,12
SI28,18
SI32,1
SI35,25
SI36,53
SI37,34
SI45,20
SI48,2
SI54,11
