service,nta_code,pickup_date,count,avg_ppl_per_acre,median_median_income,median_median_age,avg_households,avg_population
uber,BK09,2014-04-19,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-04-24,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-04-28,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-05-04,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-05-09,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-05-10,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-05-15,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-05-16,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-06-27,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-07-17,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-07-30,2.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-08-08,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-08-09,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-08-14,2.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-08-26,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-08-30,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-09-04,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-09-06,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-09-09,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-09-17,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-09-27,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK09,2014-09-28,1.0,97.0,105398.0,37.0,11036.0,22887.0
uber,BK19,2014-07-17,1.0,90.4,30872.0,46.0,14145.0,35547.0
uber,BK21,2014-05-07,1.0,37.5,23229.0,38.0,10864.0,31965.0
uber,BK21,2014-07-12,1.0,37.5,23229.0,38.0,10864.0,31965.0
uber,BK21,2014-09-14,1.0,37.5,23229.0,38.0,10864.0,31965.0
