"","service.x","nta_code","pickup_date","avg_households.x","avg_population.x","avg_ppl_per_acre.x","count.x","median_median_age.x","median_median_income.x","count.y"
"1","green","BK09","2014-04-01",11036,22887,97,1,37,105398,0
"2","green","BK09","2014-04-03",11036,22887,97,1,37,105398,0
"3","green","BK09","2014-04-04",11036,22887,97,1,37,105398,0
"4","green","BK09","2014-04-05",11036,22887,97,1,37,105398,0
"5","green","BK09","2014-04-07",11036,22887,97,1,37,105398,0
"6","green","BK09","2014-04-09",11036,22887,97,1,37,105398,0
"7","green","BK09","2014-04-10",11036,22887,97,1,37,105398,0
"8","green","BK09","2014-04-13",11036,22887,97,3,37,105398,0
"9","green","BK09","2014-04-15",11036,22887,97,1,37,105398,0
"10","green","BK09","2014-04-18",11036,22887,97,1,37,105398,0
"11","green","BK09","2014-04-21",11036,22887,97,1,37,105398,0
"12","green","BK09","2014-04-25",11036,22887,97,3,37,105398,0
"13","green","BK09","2014-04-26",11036,22887,97,2,37,105398,0
"14","green","BK09","2014-04-29",11036,22887,97,1,37,105398,0
"15","green","BK09","2014-04-30",11036,22887,97,2,37,105398,0
"16","green","BK09","2014-05-01",11036,22887,97,2,37,105398,0
"17","green","BK09","2014-05-03",11036,22887,97,1,37,105398,0
"18","green","BK09","2014-05-06",11036,22887,97,2,37,105398,0
"19","green","BK09","2014-05-07",11036,22887,97,1,37,105398,0
"20","green","BK09","2014-05-09",11036,22887,97,1,37,105398,1
"21","green","BK09","2014-05-10",11036,22887,97,1,37,105398,1
"22","green","BK09","2014-05-11",11036,22887,97,1,37,105398,0
"23","green","BK09","2014-05-12",11036,22887,97,2,37,105398,0
"24","green","BK09","2014-05-15",11036,22887,97,2,37,105398,1
"25","green","BK09","2014-05-16",11036,22887,97,1,37,105398,1
"26","green","BK09","2014-05-17",11036,22887,97,3,37,105398,0
"27","green","BK09","2014-05-18",11036,22887,97,1,37,105398,0
"28","green","BK09","2014-05-20",11036,22887,97,2,37,105398,0
"29","green","BK09","2014-05-22",11036,22887,97,1,37,105398,0
"30","green","BK09","2014-05-23",11036,22887,97,2,37,105398,0
"31","green","BK09","2014-05-26",11036,22887,97,1,37,105398,0
"32","green","BK09","2014-05-27",11036,22887,97,1,37,105398,0
"33","green","BK09","2014-05-28",11036,22887,97,1,37,105398,0
"34","green","BK09","2014-05-29",11036,22887,97,1,37,105398,0
"35","green","BK09","2014-05-30",11036,22887,97,2,37,105398,0
"36","green","BK09","2014-06-02",11036,22887,97,1,37,105398,0
"37","green","BK09","2014-06-05",11036,22887,97,2,37,105398,0
"38","green","BK09","2014-06-07",11036,22887,97,1,37,105398,0
"39","green","BK09","2014-06-08",11036,22887,97,2,37,105398,0
"40","green","BK09","2014-06-09",11036,22887,97,1,37,105398,0
"41","green","BK09","2014-06-10",11036,22887,97,2,37,105398,0
"42","green","BK09","2014-06-13",11036,22887,97,2,37,105398,0
"43","green","BK09","2014-06-14",11036,22887,97,2,37,105398,0
"44","green","BK09","2014-06-17",11036,22887,97,2,37,105398,0
"45","green","BK09","2014-06-18",11036,22887,97,1,37,105398,0
"46","green","BK09","2014-06-19",11036,22887,97,2,37,105398,0
"47","green","BK09","2014-06-20",11036,22887,97,1,37,105398,0
"48","green","BK09","2014-06-21",11036,22887,97,1,37,105398,0
"49","green","BK09","2014-06-22",11036,22887,97,2,37,105398,0
"50","green","BK09","2014-06-24",11036,22887,97,1,37,105398,0
"51","green","BK09","2014-06-25",11036,22887,97,1,37,105398,0
"52","green","BK09","2014-06-28",11036,22887,97,1,37,105398,0
"53","green","BK09","2014-06-29",11036,22887,97,1,37,105398,0
"54","green","BK09","2014-06-30",11036,22887,97,1,37,105398,0
"55","green","BK09","2014-07-02",11036,22887,97,2,37,105398,0
"56","green","BK09","2014-07-05",11036,22887,97,1,37,105398,0
"57","green","BK09","2014-07-10",11036,22887,97,2,37,105398,0
"58","green","BK09","2014-07-11",11036,22887,97,2,37,105398,0
"59","green","BK09","2014-07-19",11036,22887,97,1,37,105398,0
"60","green","BK09","2014-07-20",11036,22887,97,1,37,105398,0
"61","green","BK09","2014-07-23",11036,22887,97,1,37,105398,0
"62","green","BK09","2014-07-24",11036,22887,97,2,37,105398,0
"63","green","BK09","2014-07-25",11036,22887,97,1,37,105398,0
"64","green","BK09","2014-07-26",11036,22887,97,1,37,105398,0
"65","green","BK09","2014-07-28",11036,22887,97,1,37,105398,0
"66","green","BK09","2014-07-30",11036,22887,97,1,37,105398,2
"67","green","BK09","2014-07-31",11036,22887,97,1,37,105398,0
"68","green","BK09","2014-08-01",11036,22887,97,2,37,105398,0
"69","green","BK09","2014-08-02",11036,22887,97,1,37,105398,0
"70","green","BK09","2014-08-03",11036,22887,97,1,37,105398,0
"71","green","BK09","2014-08-04",11036,22887,97,2,37,105398,0
"72","green","BK09","2014-08-07",11036,22887,97,1,37,105398,0
"73","green","BK09","2014-08-09",11036,22887,97,3,37,105398,1
"74","green","BK09","2014-08-10",11036,22887,97,2,37,105398,0
"75","green","BK09","2014-08-12",11036,22887,97,1,37,105398,0
"76","green","BK09","2014-08-13",11036,22887,97,1,37,105398,0
"77","green","BK09","2014-08-15",11036,22887,97,2,37,105398,0
"78","green","BK09","2014-08-16",11036,22887,97,1,37,105398,0
"79","green","BK09","2014-08-17",11036,22887,97,1,37,105398,0
"80","green","BK09","2014-08-25",11036,22887,97,1,37,105398,0
"81","green","BK09","2014-08-27",11036,22887,97,3,37,105398,0
"82","green","BK09","2014-08-28",11036,22887,97,2,37,105398,0
"83","green","BK09","2014-08-31",11036,22887,97,1,37,105398,0
"84","green","BK09","2014-09-02",11036,22887,97,1,37,105398,0
"85","green","BK09","2014-09-05",11036,22887,97,2,37,105398,0
"86","green","BK09","2014-09-06",11036,22887,97,2,37,105398,1
"87","green","BK09","2014-09-07",11036,22887,97,1,37,105398,0
"88","green","BK09","2014-09-09",11036,22887,97,1,37,105398,1
"89","green","BK09","2014-09-10",11036,22887,97,2,37,105398,0
"90","green","BK09","2014-09-12",11036,22887,97,1,37,105398,0
"91","green","BK09","2014-09-14",11036,22887,97,1,37,105398,0
"92","green","BK09","2014-09-16",11036,22887,97,1,37,105398,0
"93","green","BK09","2014-09-17",11036,22887,97,2,37,105398,1
"94","green","BK09","2014-09-19",11036,22887,97,1,37,105398,0
"95","green","BK09","2014-09-20",11036,22887,97,1,37,105398,0
"96","green","BK09","2014-09-21",11036,22887,97,3,37,105398,0
