"","service.x","nta_code","pickup_date","avg_households.x","avg_population.x","avg_ppl_per_acre.x","count.x","median_median_age.x","median_median_income.x","count.y"
"1","yellow","BK09","2014-04-05",11036,22887,97,1,37,105398,0
"2","yellow","BK09","2014-04-06",11036,22887,97,1,37,105398,0
"3","yellow","BK09","2014-04-08",11036,22887,97,1,37,105398,0
"4","yellow","BK09","2014-04-09",11036,22887,97,1,37,105398,0
"5","yellow","BK09","2014-04-10",11036,22887,97,1,37,105398,0
"6","yellow","BK09","2014-04-11",11036,22887,97,1,37,105398,0
"7","yellow","BK09","2014-04-12",11036,22887,97,2,37,105398,0
"8","yellow","BK09","2014-04-13",11036,22887,97,1,37,105398,0
"9","yellow","BK09","2014-04-19",11036,22887,97,2,37,105398,1
"10","yellow","BK09","2014-04-20",11036,22887,97,2,37,105398,0
"11","yellow","BK09","2014-04-22",11036,22887,97,1,37,105398,0
"12","yellow","BK09","2014-04-23",11036,22887,97,1,37,105398,0
"13","yellow","BK09","2014-04-24",11036,22887,97,1,37,105398,1
"14","yellow","BK09","2014-04-26",11036,22887,97,2,37,105398,0
"15","yellow","BK09","2014-04-29",11036,22887,97,1,37,105398,0
"16","yellow","BK09","2014-04-30",11036,22887,97,2,37,105398,0
"17","yellow","BK09","2014-05-02",11036,22887,97,3,37,105398,0
"18","yellow","BK09","2014-05-03",11036,22887,97,2,37,105398,0
"19","yellow","BK09","2014-05-04",11036,22887,97,1,37,105398,1
"20","yellow","BK09","2014-05-05",11036,22887,97,3,37,105398,0
"21","yellow","BK09","2014-05-11",11036,22887,97,1,37,105398,0
"22","yellow","BK09","2014-05-13",11036,22887,97,1,37,105398,0
"23","yellow","BK09","2014-05-16",11036,22887,97,2,37,105398,1
"24","yellow","BK09","2014-05-17",11036,22887,97,1,37,105398,0
"25","yellow","BK09","2014-05-18",11036,22887,97,1,37,105398,0
"26","yellow","BK09","2014-05-19",11036,22887,97,1,37,105398,0
"27","yellow","BK09","2014-05-21",11036,22887,97,1,37,105398,0
"28","yellow","BK09","2014-05-22",11036,22887,97,1,37,105398,0
"29","yellow","BK09","2014-05-24",11036,22887,97,1,37,105398,0
"30","yellow","BK09","2014-05-30",11036,22887,97,1,37,105398,0
"31","yellow","BK09","2014-05-31",11036,22887,97,4,37,105398,0
"32","yellow","BK09","2014-06-01",11036,22887,97,1,37,105398,0
"33","yellow","BK09","2014-06-02",11036,22887,97,1,37,105398,0
"34","yellow","BK09","2014-06-09",11036,22887,97,1,37,105398,0
"35","yellow","BK09","2014-06-10",11036,22887,97,2,37,105398,0
"36","yellow","BK09","2014-06-12",11036,22887,97,2,37,105398,0
"37","yellow","BK09","2014-06-14",11036,22887,97,1,37,105398,0
"38","yellow","BK09","2014-06-15",11036,22887,97,1,37,105398,0
"39","yellow","BK09","2014-06-18",11036,22887,97,1,37,105398,0
"40","yellow","BK09","2014-06-19",11036,22887,97,1,37,105398,0
"41","yellow","BK09","2014-06-20",11036,22887,97,2,37,105398,0
"42","yellow","BK09","2014-06-22",11036,22887,97,1,37,105398,0
"43","yellow","BK09","2014-06-24",11036,22887,97,1,37,105398,0
"44","yellow","BK09","2014-06-25",11036,22887,97,1,37,105398,0
"45","yellow","BK09","2014-06-27",11036,22887,97,1,37,105398,1
"46","yellow","BK09","2014-07-01",11036,22887,97,2,37,105398,0
"47","yellow","BK09","2014-07-02",11036,22887,97,3,37,105398,0
"48","yellow","BK09","2014-07-03",11036,22887,97,1,37,105398,0
"49","yellow","BK09","2014-07-06",11036,22887,97,1,37,105398,0
"50","yellow","BK09","2014-07-09",11036,22887,97,1,37,105398,0
"51","yellow","BK09","2014-07-10",11036,22887,97,1,37,105398,0
"52","yellow","BK09","2014-07-12",11036,22887,97,1,37,105398,0
"53","yellow","BK09","2014-07-16",11036,22887,97,1,37,105398,0
"54","yellow","BK09","2014-07-25",11036,22887,97,2,37,105398,0
"55","yellow","BK09","2014-07-26",11036,22887,97,3,37,105398,0
"56","yellow","BK09","2014-07-27",11036,22887,97,1,37,105398,0
"57","yellow","BK09","2014-07-28",11036,22887,97,1,37,105398,0
"58","yellow","BK09","2014-07-29",11036,22887,97,1,37,105398,0
"59","yellow","BK09","2014-08-01",11036,22887,97,1,37,105398,0
"60","yellow","BK09","2014-08-02",11036,22887,97,1,37,105398,0
"61","yellow","BK09","2014-08-04",11036,22887,97,1,37,105398,0
"62","yellow","BK09","2014-08-06",11036,22887,97,2,37,105398,0
"63","yellow","BK09","2014-08-07",11036,22887,97,1,37,105398,0
"64","yellow","BK09","2014-08-10",11036,22887,97,2,37,105398,0
"65","yellow","BK09","2014-08-11",11036,22887,97,1,37,105398,0
"66","yellow","BK09","2014-08-18",11036,22887,97,1,37,105398,0
"67","yellow","BK09","2014-09-02",11036,22887,97,1,37,105398,0
"68","yellow","BK09","2014-09-03",11036,22887,97,3,37,105398,0
"69","yellow","BK09","2014-09-06",11036,22887,97,1,37,105398,1
"70","yellow","BK09","2014-09-07",11036,22887,97,2,37,105398,0
"71","yellow","BK09","2014-09-08",11036,22887,97,2,37,105398,0
"72","yellow","BK09","2014-09-10",11036,22887,97,1,37,105398,0
"73","yellow","BK09","2014-09-12",11036,22887,97,1,37,105398,0
"74","yellow","BK09","2014-09-16",11036,22887,97,1,37,105398,0
"75","yellow","BK09","2014-09-17",11036,22887,97,1,37,105398,1
"76","yellow","BK09","2014-09-18",11036,22887,97,2,37,105398,0
"77","yellow","BK09","2014-09-19",11036,22887,97,1,37,105398,0
"78","yellow","BK09","2014-09-21",11036,22887,97,1,37,105398,0
"79","yellow","BK09","2014-09-23",11036,22887,97,1,37,105398,0
"80","yellow","BK09","2014-09-27",11036,22887,97,1,37,105398,1
"81","yellow","BK09","2014-09-28",11036,22887,97,1,37,105398,1
"82","yellow","BK09","2014-09-29",11036,22887,97,3,37,105398,0
"83","yellow","BK09","2015-01-01",11036,22887,97,1,37,105398,1
